Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2024-06-20 00:00:00-04:00,681.7999877929688,689.8800048828125,673.719970703125,679.030029296875,679.030029296875,2585100,0.0,0.0,2024-09-20,3mo,1d
2024-06-21 00:00:00-04:00,683.260009765625,686.9000244140625,678.0999755859375,686.1199951171875,686.1199951171875,4557100,0.0,0.0,2024-09-20,3mo,1d
2024-06-24 00:00:00-04:00,685.0,685.5,664.5,669.02001953125,669.02001953125,3916300,0.0,0.0,2024-09-20,3mo,1d
2024-06-25 00:00:00-04:00,673.4400024414062,673.6699829101562,662.2999877929688,672.4099731445312,672.4099731445312,2278800,0.0,0.0,2024-09-20,3mo,1d
2024-06-26 00:00:00-04:00,672.4099731445312,682.9600219726562,670.02001953125,677.6900024414062,677.6900024414062,3545800,0.0,0.0,2024-09-20,3mo,1d
2024-06-27 00:00:00-04:00,679.3499755859375,688.5700073242188,678.1400146484375,684.3400268554688,684.3400268554688,2404800,0.0,0.0,2024-09-20,3mo,1d
2024-06-28 00:00:00-04:00,679.0,687.0,673.0800170898438,674.8800048828125,674.8800048828125,3412400,0.0,0.0,2024-09-20,3mo,1d
2024-07-01 00:00:00-04:00,674.8900146484375,675.02001953125,663.780029296875,673.6099853515625,673.6099853515625,2212800,0.0,0.0,2024-09-20,3mo,1d
2024-07-02 00:00:00-04:00,673.5399780273438,681.739990234375,670.0700073242188,679.5800170898438,679.5800170898438,2411400,0.0,0.0,2024-09-20,3mo,1d
2024-07-03 00:00:00-04:00,677.47998046875,683.75,675.5,682.510009765625,682.510009765625,1403500,0.0,0.0,2024-09-20,3mo,1d
2024-07-05 00:00:00-04:00,682.510009765625,697.489990234375,677.22998046875,690.6500244140625,690.6500244140625,2659100,0.0,0.0,2024-09-20,3mo,1d
2024-07-08 00:00:00-04:00,687.0,688.8599853515625,681.489990234375,685.739990234375,685.739990234375,1930800,0.0,0.0,2024-09-20,3mo,1d
2024-07-09 00:00:00-04:00,690.0,695.27001953125,684.719970703125,685.739990234375,685.739990234375,2596100,0.0,0.0,2024-09-20,3mo,1d
2024-07-10 00:00:00-04:00,685.02001953125,687.219970703125,673.1599731445312,677.6500244140625,677.6500244140625,2651900,0.0,0.0,2024-09-20,3mo,1d
2024-07-11 00:00:00-04:00,672.489990234375,672.489990234375,647.4400024414062,652.75,652.75,5106600,0.0,0.0,2024-09-20,3mo,1d
2024-07-12 00:00:00-04:00,652.75,655.9199829101562,643.7100219726562,647.5999755859375,647.5999755859375,3355200,0.0,0.0,2024-09-20,3mo,1d
2024-07-15 00:00:00-04:00,647.5,667.5399780273438,646.6300048828125,656.4500122070312,656.4500122070312,3208800,0.0,0.0,2024-09-20,3mo,1d
2024-07-16 00:00:00-04:00,661.7999877929688,663.6799926757812,649.1300048828125,656.3200073242188,656.3200073242188,2685700,0.0,0.0,2024-09-20,3mo,1d
2024-07-17 00:00:00-04:00,650.0,650.4500122070312,639.469970703125,647.4600219726562,647.4600219726562,4017300,0.0,0.0,2024-09-20,3mo,1d
2024-07-18 00:00:00-04:00,656.5999755859375,657.0399780273438,639.1699829101562,643.0399780273438,643.0399780273438,7575800,0.0,0.0,2024-09-20,3mo,1d
2024-07-19 00:00:00-04:00,660.6400146484375,678.969970703125,629.1199951171875,633.3400268554688,633.3400268554688,9815600,0.0,0.0,2024-09-20,3mo,1d
2024-07-22 00:00:00-04:00,639.5,656.2899780273438,632.5999755859375,647.5,647.5,5219100,0.0,0.0,2024-09-20,3mo,1d
2024-07-23 00:00:00-04:00,647.5,649.9099731445312,641.0,642.760009765625,642.760009765625,2463600,0.0,0.0,2024-09-20,3mo,1d
2024-07-24 00:00:00-04:00,635.739990234375,652.4199829101562,632.6699829101562,635.989990234375,635.989990234375,4888200,0.0,0.0,2024-09-20,3mo,1d
2024-07-25 00:00:00-04:00,641.0,649.97998046875,621.7000122070312,634.0900268554688,634.0900268554688,4554500,0.0,0.0,2024-09-20,3mo,1d
2024-07-26 00:00:00-04:00,645.0,646.989990234375,629.77001953125,631.3699951171875,631.3699951171875,3120700,0.0,0.0,2024-09-20,3mo,1d
2024-07-29 00:00:00-04:00,634.6099853515625,634.6099853515625,623.9299926757812,626.9600219726562,626.9600219726562,2400500,0.0,0.0,2024-09-20,3mo,1d
2024-07-30 00:00:00-04:00,630.1699829101562,634.6900024414062,617.0,622.5800170898438,622.5800170898438,3496600,0.0,0.0,2024-09-20,3mo,1d
2024-07-31 00:00:00-04:00,626.5700073242188,633.5999755859375,622.5800170898438,628.3499755859375,628.3499755859375,3134900,0.0,0.0,2024-09-20,3mo,1d
2024-08-01 00:00:00-04:00,629.25,646.7100219726562,617.6099853515625,624.8499755859375,624.8499755859375,3720600,0.0,0.0,2024-09-20,3mo,1d
